id,address,lat,lon,demand
0,Basecamp,-7.88538,110.334,0
1,Pondok Pesantren Al-Anwar Bolon,-7.90856,110.324,0
2,PESANTREN PUTRI JOGJA AZZAKIYYAH,-7.92329,110.319,0
3,Pondok Pesantren Asy Syifa' Muhammadiyah Asrama Putri,-7.92308,110.322,0
4,Pondok Pesantren Darul Fatihah,-7.95557,110.355,0
5,"PP. Ar-Rohmah, Beji, Sumberagung, Bantul Regency, Special Region of Yogyakarta",-7.89697,110.365,0
6,Pondok Pesantren Al-Fatah,-7.88239,110.344,0
7,Asrama Putra Pondok Pesantren Daaru Aytam Baitussalam,-7.91499,110.291,0
8,Komplek Khodijah Pondok Pesantren An Nur,-7.87238,110.341,0
9,Pesantren Baitul Quran Cendekia,-7.94902,110.387,0
10,Tahfidz Al Muhajirin Islamic Boarding School,-7.94876,110.289,0
11,Ma'had Al-Atsar Yogyakarta,-7.94552,110.282,0
12,Pondok Pesantren Hamalatul Qur'an Sanden,-7.99304,110.256,0
13,Pondok Pesantren Salamah,-7.93293,110.26,0
14,AL MAA'UUN,-7.93793,110.261,0
15,Pondok Pesantren Nurul Fattah,-7.94295,110.25,0
16,"Pondok Pesantren Ar Rahmah, RT.013, Gunung Saren, Trimurti",-7.94105,110.248,0
17,Sunan Pandanaran,-7.92782,110.343,0
18,PonpesTahfidzul AlBahari,-8.01159,110.294,0
19,Rumah Tahfidz Taman Surga,-7.9197,110.311,0
20,IDN Bantul Jogja,-7.87482,110.326,0
21,Pondok Pesantren Mannallah,-7.87824,110.318,0
22,Pondok Pesantren Harapan Ar-Risalah,-7.89308,110.299,0
23,Pondok IT Muslimah & Tahfidz Kalakijo,-7.89046,110.302,0
24,Pondok Pesantren Ad-dhuha,-7.87735,110.303,0
25,Yayasan Alpha Indonesia,-7.86856,110.309,0
26,Riyadhul Quran,-7.85047,110.263,0
27,"PONDOK PESANTREN AR RAHMAN, Semampir, Argorejo, Kabupaten Bantul, Daerah Istimewa Yogyakarta",-7.82013,110.257,0
28,PPTQ QURROTA A'YUN,-7.82276,110.274,0
29,Pondok Kayu Habibie,-7.82398,110.299,0
30,Pondok Tahfidz Yatim Baitussalam,-7.86876,110.347,0
31,Mustika Tama,-7.83133,110.341,0
32,Pesantren Masyrakat Jogja,-7.81918,110.34,0
33,Rumah Tahfidz An Naba',-7.84784,110.337,0
34,Pondok Tahfidz Abdurrahman Ali,-7.82253,110.345,0
35,"PA dan Pon-Pes Anak Yatim,Piatu & Dhuafa Tahfidz Qur'an Al-Marsha (Al-Mar'atus Shalihah)",-7.85389,110.34,0
36,"Pondok Pesantren Nurul Anwar, Sawahan, Pendowoharjo, Kabupaten Bantul, Daerah Istimewa Yogyakarta",-7.86687,110.342,0
37,TPQ Daarul Falaah,-7.84478,110.359,0
38,Ma'had Tahfizhul Qur'an Daarul Firdaus,-7.84871,110.371,0
39,Ma'had Tahfidz Utsman bin Affan,-7.854,110.368,0
40,PONDOK PESANTREN NURUL IMAN,-7.86735,110.376,0
41,PP MIFTAHUL ULUM 1,-7.86636,110.387,0
42,Pondok Pesantren Miftahul Ulum 2,-7.86902,110.387,0
43,Rumah Tahfidzh Taruna Panatagama,-7.83555,110.42,0
44,Rumah Tahfidz Nur Hidayah,-7.8516,110.39,0
